ref,text
In the beginning God created the heavens and the earth.,"Durnya be sososo na, esoso nɛ kasawule nɛ Ebɔrɛ to."
"The earth was barren, with no form of life; it was under a roaring ocean covered with darkness. But the Spirit of God was moving over the water. The First Day","Loŋ be saŋɛ na shɛŋ shɛŋ daa maŋ wɔ kasawule so, amoso k daa du nna le muntuluŋ. Kumo be jemanɛ na so nchu e daa la kaplɛkama nɛ tentembiri daŋ sɔ kakpa kikɛ le mina nɛ Ebɔrɛ be Kiyoyu daa lɛa a lɛa nchuana na so."
"God said, “I command light to shine!” And light started shining.",Ndoŋ nna nɛ Ebɔrɛ kaŋɛ: “Shin nɛ kefulto e lar n fulto.” Epul na to nɛ kaboŋ fulto par.
God looked at the light and saw that it was good. He separated light from darkness,"Nɛ Ebɔrɛ wu fanɛ kefulto na walɛ, nɛ e barga kefulto na be saŋɛ ashi tentembiri be saŋɛ to."
"and named the light “Day” and the darkness “Night.” Evening came, then morning—that was the first day. The Second Day",E ka wora loŋ na nɛ e nase kefulto be saŋɛ na kapa nseŋ nase tentembiri be saŋɛ na malɛ kanyɛ. Ndoŋ nna nɛ kanyɛ biri nɛ kare chɛ ŋ ki kachɛ lelemu juŋkparso na.
"God said, “I command a dome to separate the water above it from the water below it.”",Kachɛ juŋkparso na be kaman nɛ Ebɔrɛ kaŋɛ: “Shin nɛ kunji e barga nchuana na to nɛ ako e baa wɔ esoso nɛ ako malɛ e baa wɔ kaseto.” Nɛ loŋ wora.
"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day",Nɛ Ebɔrɛ nase kunji na awɔlpa. Ndoŋ nna nɛ kanyɛ biri nɛ kare chɛ ŋ ki kachɛ lelemu nyɔsopo na.
"God said, “I command the water under the sky to come together in one place, so there will be dry ground.” And that's what happened.",Kachɛ nyɔsopo na be kaman nɛ Ebɔrɛ naŋ kaŋɛ: “Shin nɛ nchu nɛ a wɔ awɔlpa be kaseto na e gama abar so kaboŋ koŋwule n shin nɛ kasawule malɛ e di efuli.” Nɛ loŋ wora.
"God named the dry ground “Land,” and he named the water “Ocean.” God looked at what he had done and saw that it was good.",Loŋ ka wora na nɛ Ebɔrɛ nase kaboŋ wɔlso nɛ k di efuli na kasawule nseŋ nase nchuana nɛ a ba abar so na eteku. E ka wora loŋ na nɛ e wu fanɛ k walɛ.
"The earth produced all kinds of vegetation. God looked at what he had done, and it was good.",Ndoŋ nna nɛ asɔduuso be yiri yiri fanɛ ayu be yiri to nɛ asɔrso be yiri to kikɛ kɔr nɛ kekama sɔr kumo be yiri to be asɔrso be bibi. Nɛ Ebɔrɛ wu fanɛ a walɛ.
"Evening came, then morning—that was the third day. The Fourth Day",Ndoŋ nna nɛ kanyɛ biri nɛ kare chɛ ŋ ki kachɛ lelemu sasopo na.
"God said, “I command lights to appear in the sky and to separate day from night and to show the time for seasons, special days, and years.",Kachɛ sasopo na be kaman nɛ Ebɔrɛ naŋ kaŋɛ: “Shin nɛ kefulto e lar awɔlpa to m barga kapa ashi kanyɛ to nseŋ shin nɛ a baa ŋini jemanɛ nɛ saŋɛ nɛ nchɛ nɛ nfɛ bee fara.
I command them to shine on the earth.” And that's what happened.,Shin nɛ a baa la afulbi nɛ a wɔ awɔlpa to a nyaŋɛ kefulto a yuu kasawule so.” Nɛ loŋ wora.
"God made two powerful lights, the brighter one to rule the day and the other to rule the night. He also made the stars.",Kede be kaman nɛ Ebɔrɛ to asɔ fultoso anyɔ n shin nɛ kegboŋi na bee ji eleŋ kapaso nɛ kekakarbi na malɛ bee ji eleŋ kanyɛso. Loŋ be saŋɛ na nɛ e daŋ to achɛkpabi gba n ti so.
"Then God put these lights in the sky to shine on the earth,",Ndoŋ nna nɛ Ebɔrɛ shin nɛ amo kikɛ wɔ awɔlpa to a nyaŋɛ a yuu kasawule so
"to rule day and night, and to separate light from darkness. God looked at what he had done, and it was good.",a ji kapa nɛ kanyɛ kikɛ so eleŋ nsaa barga kefulto ashi tentembiri to. Loŋ ka wora na nɛ Ebɔrɛ wu fanɛ k walɛ.
"Evening came, then morning—that was the fourth day. The Fifth Day",Ndoŋ nna nɛ kanyɛ biri nɛ kare chɛ ŋ ki kachɛ lelemu nasopo na.
"God said, “I command the ocean to be full of living creatures, and I command birds to fly above the earth.”",Kede be kaman nɛ Ebɔrɛ naŋ kaŋɛ: “Shin nɛ asɔ futeso be yiri yiri e sɔ nchuana na to nseŋ shin nɛ mbuibiana malɛ e sɔ esoso a firgi.”
