verse_number,english_verse,translation_verse
1,In the beginning God created the heavens and the earth.,Mfitiaseɛ no Onyankopɔn bɔɔ ɔsoro ne asase.
2,"The earth was barren, with no form of life; it was under a roaring ocean covered with darkness. But the Spirit of God was moving over the water. The First Day","Na asase da hɔ hunu a ɛnni bɔbea biara, na esum wɔ ebunu ani. Na Nyankopɔn honhom butu nsuo no ani."
3,"God said, “I command light to shine!” And light started shining.",Na Onyankopɔn kaa sɛ: Ɛnyɛ hann! Na ɛyɛɛ hann.
4,God looked at the light and saw that it was good. He separated light from darkness,Na Onyankopɔn hunuu hann no sɛ ɛyɛ. Na Onyankopɔn paee hann ne esum no mu.
5,"and named the light “Day” and the darkness “Night.” Evening came, then morning—that was the first day. The Second Day","Na ɔfrɛɛ hann no sɛ adekyee, ne esum no adesae. Na adeɛ sae, na adeɛ kyee, da a ɛdi kan ne no."
6,"God said, “I command a dome to separate the water above it from the water below it.”","Na Onyankopɔn kaa sɛ: Ewiem mmra, na ɛmmɛpae nsuo no mu."
8,"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day","Na Onyankopɔn frɛɛ ewiem no ɔsoro. Na adeɛ sae, na adeɛ kyee, da a ɛtɔ so mmienu ne no."
9,"God said, “I command the water under the sky to come together in one place, so there will be dry ground.” And that's what happened.","Na Onyankopɔn kaa sɛ: Nsuo a ɛwɔ ɔsoro aseɛ no mmoaboa ano wɔ faako, na wɔnhunu asase pɛsɛɛ. Na ɛyɛɛ saa."
10,"God named the dry ground “Land,” and he named the water “Ocean.” God looked at what he had done and saw that it was good.","Na Onyankopɔn frɛɛ pɛsɛɛ no asase, na nsuo mmoano no, ɔfrɛɛ no ɛpo. Na Onyankopɔn hunuu sɛ ɛyɛ."
11,"God said, “I command the earth to produce all kinds of plants, including fruit trees and grain.” And that's what happened.","Na Onyankopɔn kaa sɛ: Asase mfifiri nwira, mfudeɛ, nnuaba sɛdeɛ wɔn su teɛ wɔ asase so. Na ɛyɛɛ saa."
12,"The earth produced all kinds of vegetation. God looked at what he had done, and it was good.",Na asase fifirii nwira ne nnuaba sɛdeɛ wɔn su teɛ. Na Onyankopɔn hunuu sɛ ɛyɛ.
13,"Evening came, then morning—that was the third day. The Fourth Day","Na adeɛ sae, na adeɛ kyee, da a ɛtɔ so mmiɛnsa ne no."
14,"God said, “I command lights to appear in the sky and to separate day from night and to show the time for seasons, special days, and years.","Na Onyankopɔn kaa sɛ: Nkanea mmra ewiem, na ɛmmɛpae awia ne anadwo mu, na ɛnyɛ nsɛnkyerɛnneɛ mma ɛberɛ, nna ne mfeɛ nkyekyɛmu."
15,I command them to shine on the earth.” And that's what happened.,"Bio, na ɛnyɛ nkanea wɔ ewiem, na ɛnhyerɛn wɔ asase so. Na ɛyɛɛ saa."
16,"God made two powerful lights, the brighter one to rule the day and the other to rule the night. He also made the stars.","Na Onyankopɔn yɛɛ nkanea akɛseɛ mmienu no, sɛ kɛseɛ no nni adekyeeɛ so, na ketewa no, sɛ ɛnni anadwo so. Ɔyɛɛ nsoromma nso."
17,"Then God put these lights in the sky to shine on the earth,","Na Onyankopɔn de sisii ewiem sɛ ɛnhyerɛn wɔ asase so,"
18,"to rule day and night, and to separate light from darkness. God looked at what he had done, and it was good.","na ɛnni adekyeeɛ ne adesaeɛ so, na ɛmpae hann ne esum no mu. Na Onyankopɔn hunuu sɛ ɛyɛ."
19,"Evening came, then morning—that was the fourth day. The Fifth Day","Na adeɛ sae, na adeɛ kyee, da a ɛtɔ so nnan ne no."
20,"God said, “I command the ocean to be full of living creatures, and I command birds to fly above the earth.”","Na Onyankopɔn kaa sɛ: Nsuo no nnɔre abɔdeɛ a ɛte aseɛ pii, na ntakraboa ntu mfa asase so wɔ ewiem."
21,"So God made the giant sea monsters and all the living creatures that swim in the ocean. He also made every kind of bird. God looked at what he had done, and it was good.",Na Onyankopɔn bɔɔ nsuboa akɛseɛ ne nketewa ahodoɔ sɛdeɛ wɔn su teɛ; ne ntakraboa nyinaa sɛdeɛ wɔn su teɛ. Na Onyankopɔn hunuu sɛ ɛyɛ.
22,Then he gave the living creatures his blessing—he told the ocean creatures to increase and live everywhere in the ocean and the birds to increase everywhere on earth.,"Na Onyankopɔn hyiraa wɔn sɛ: Monwo, na monnɔ, na monyɛ ɛpo mu ma, na ntakraboa nnɔɔso asase so."
23,"Evening came, then morning—that was the fifth day. The Sixth Day","Na adeɛ sae, na adeɛ kyee, da a ɛtɔ so nnum ne no."
24,"God said, “I command the earth to give life to all kinds of tame animals, wild animals, and reptiles.” And that's what happened.","Na Onyankopɔn kaa sɛ: Abɔdeɛ a ɛtete aseɛ mfiri asase mu mmra, sɛdeɛ wɔn su teɛ: Ntɔteboa a ɛwɔ fie ne wiram ne mmoa a wɔwea ne asase so mmoadoma, sɛdeɛ wɔn su teɛ. Na ɛyɛɛ saa."
25,"God made every one of them. Then he looked at what he had done, and it was good.","Na Onyankopɔn yɛɛ asase so mmoadoma, ntɔteboa ne mmoa a wɔwea fam nyinaa sɛdeɛ wɔn su teɛ. Na Onyankopɔn hunuu sɛ ɛyɛ."
26,"God said, “Now we will make humans, and they will be like us. We will let them rule the fish, the birds, and all other living creatures.”","Na Onyankopɔn kaa sɛ: Momma yɛnyɛ onipa wɔ yɛn suban so sɛ yɛn nsɛsoɔ, na wɔnni ɛpo mu mpataa, ewiem nnomaa, ntɔteboa, ne mmoa a wɔwea asase so nyinaa so."
27,So God created humans to be like himself; he made men and women.,"Na Onyankopɔn bɔɔ onipa wɔ ne suban so. Aane, Nyankopɔn suban so na ɔbɔɔ no, ɔbarima ne ɔbaa na ɔbɔɔ wɔn."
