ref,text
"and named the light “Day” and the darkness “Night.” Evening came, then morning—that was the first day. The Second Day","Ni Nyoṅmo̱ tšé̱ la le̱ ſane, ni duṅ le̱ etšé̱le̱ nyōṅ. Ni dše na ni dše tše̱re, ni efe kleṅkleṅ gbĩ le̱."
"God named the dry ground “Land,” and he named the water “Ocean.” God looked at what he had done and saw that it was good.","Ni Nyoṅmo̱ tšé̱ heni egbĩ le̱ šikpoṅ, ni nui le̱ anābuamo̱ le̱ etšé̱le̱ ṅšo̱. Ni Nyoṅmo̱ na ake̱ ehĩ."
"God said, “I command the earth to produce all kinds of plants, including fruit trees and grain.” And that's what happened.","Ni Nyoṅmo̱ kē̱: Šikpoṅ le̱ akwẽ dſe̱i, bāi ni woo̱ wui ke̱ tšei ni woo̱ yibii ye̱ eheno̱, ní ewui le̱ yo̱ emli, ye̱ šikpoṅ le̱ no̱! Ni efe nakai."
"The earth produced all kinds of vegetation. God looked at what he had done, and it was good.","Ni šikpoṅ le̱ kwẽ dſe̱i, bāi ni woo̱ wui ye̱ eheno̱, ke̱ tšei ní woo̱ yibii ní ewui le̱ yo̱ emli ye̱ eheno̱. Ni Nyoṅmo̱ na ake̱ ehī."
"Evening came, then morning—that was the third day. The Fourth Day","Ni dše na ni dše tše̱re, ni efe gbĩ ni dši gbĩ etẽ le̱."
"God said, “I command lights to appear in the sky and to separate day from night and to show the time for seasons, special days, and years.","Ni Nyoṅmo̱ kē̱: Kanei aba ṅwei atatu le̱ mli, koni ame̱gbla ſane ke̱ nyōṅ mli, ni ame̱tšō okadii ke̱ bei ke̱ gbĩĩ ke̱ afii; Lal."
I command them to shine on the earth.” And that's what happened.,"ni ame̱tšṍmo̱ kanei ye̱ ṅwei atatu le̱ mli, ní ame̱tšo ye̱ šikpoṅ le̱ no̱. Ni efe nakai."
"God made two powerful lights, the brighter one to rule the day and the other to rule the night. He also made the stars.","Ni Nyoṅmo̱ fe kanei wudši enyo̱ le̱: kane wulu le̱ ní eye ſane no̱, ke̱ kane bibiō le̱ ni eye nyōṅ no̱, ke̱ ṅulamii le̱ hũ. Lal."
"to rule day and night, and to separate light from darkness. God looked at what he had done, and it was good.","ni ame̱ye ſane ke̱ nyõṅ ne̱, ni ame̱gbla la le̱ ke̱ duṅ le̱ mli. Ni Nyoṅmo̱ na ake̱ ehĩ."
"God said, “I command the ocean to be full of living creatures, and I command birds to fly above the earth.”","Ni Nyoṅmo̱ kē̱: Nui le̱ awo lōi ni hĩe kāmo̱ nyẽṅẽnyẽṅẽ, ni lofõdši afliki ye̱ šikpoṅ le̱ no̱ ye̱ ṅwei atatu le̱ hĩe."
"So God made the giant sea monsters and all the living creatures that swim in the ocean. He also made every kind of bird. God looked at what he had done, and it was good.","Ni Nyoṅmo̱ bo̱ ṅšo̱ṅloi wudši le̱ ke̱ bo̱nii fẽ ni hĩe kāmo̱ ní tšio̱ ame̱he ni nui le̱ wo nyēṅẽnyẽṅē ye̱ ame̱heno̱ le̱, ke̱ lofõdši fẽ ni yo̱ fidši ye̱ ame̱heno̱. Ni Nyoṅmo̱ na ake̱ ehĩ."
"Evening came, then morning—that was the fifth day. The Sixth Day","Ni dše na ni dše tše̱re, ni efe gbĩ ni dši gbī enumo̱ le̱."
"God made every one of them. Then he looked at what he had done, and it was good.","Ni Nyoṅmo̱ fe šikpoṅ koloi ye̱ ame̱heno̱, ke̱ šĩa koloi ye ame̱heno̱, ke̱ nii fẽ ní wamoo̱ ye̱ šikpoṅ ye̱ ame̱heno̱. Ni Nyoṅmo̱ na ake̱ ehĩ."
So God created humans to be like himself; he made men and women.,"Ni *Nyoṅmo̱ bo̱ gbomo ye̱ esubãṅ le̱ no̱, Nyoṅmo̱ subãṅ le̱ no̱ ebo̱le̱ ye̱; †nū ke̱ yō ebo̱ame̱. *Ef."
"God gave them his blessing and said: Have a lot of children! Fill the earth with people and bring it under your control. Rule over the fish in the ocean, the birds in the sky, and every animal on the earth.","Ni Nyoṅmo̱ dšō̱ame̱, ni Nyoṅmo̱ kē̱ame̱ ake̱: Nyefo̱a ni nyeyi afáa ni nyeyia šikpoṅ le̱ no̱ obõ, ni nyenānāa no̱, ni nyeyea ṅšo̱ṅloi ke̱ ṅwei lofõdši ke̱ kolo-fẽ-kolo ni tšio̱ ehe ye̱ šikpoṅ le̱ no̱ le̱ no̱. Bo̱f."
"And I have given the green plants as food for everything else that breathes, including animals, both wild and tame, and birds. And so it was.","ni koloi fẽ ni yo̱ šikpoṅ lē̱ no̱ ke̱ ṅwei lofõdši fē ke̱ nibii ſẽ ni wamoo̱ ye̱ šikpoṅ le̱ no̱, ni wala susuma yo̱ ame̱mli le̱, aṅõ dſe̱fo̱ fẽ ahãame̱ ni ame̱ye. Ni efe nakai."
"God looked at what he had done. All of it was very good! Evening came, then morning—that was the sixth day.","Ni Nyoṅmo̱ kwe̱ nibii fẽ ni efe le̱, ni na, ehĩ naakpa. Ni dše na ni dše tše̱re, ni efe gbĩ ni dši gbĩ ekpa le̱."
"That's how God created the heavens and the earth. The Garden of Eden When the Lord God made the heavens and the earth,","Ene̱mei dši ṅwei ke̱ šikpoṅ šišidšē he sãdši, beni abo̱ame̱ le̱, ye̱ gbĩ no̱ ni Iehowa Nyoṅmo̱ fe šikpoṅ ke̱ ṅwei le̱."
"The Lord made a garden in a place called Eden, which was in the east, and he put the man there.","Ni Iehowa Nyoṅmo̱ fe trom ye̱ Eden ye̱ bokāgbe̱, ni eṅõ gbomo ní ešõ le̱ eto dše̱i."
"The Tigris River that flows east of Assyria is the third, and the fourth is the Euphrates River.","Ni fā ni dši etẽ le̱ gbe̱i dši Hidekel, noni hoo̱ ye̱ Ašur bokãgbe̱ le̱; ni fā ni dši edſe̱ le̱ dši Eufrate."
"But the Lord told him, “You may eat fruit from any tree in the garden,",Ni Iehowa Nyoṅmo̱ wo gbomo le̱ kitã ekē̱: Trom le̱ mli tšei le̱ fẽ no̱ yibii le̱ ye bo̱ni osumoo̱;
"except the one that has the power to let you know the difference between right and wrong. If you eat any fruit from that tree, you will die before the day is over!”","ši ekpakpa ke̱ efõṅ lẽ tšo le̱ yibii le̱ kãye eko; edšake̱ gbĩ no̱ ni ooye eko le̱, *gbo oogbo! *Rom."
"The Lord God said, “It isn't good for the man to live alone. I will make a suitable partner for him.”",Ni Iehowa Nyoṅmo̱ kē̱: Ehĩĩ ake̱ gbomo le̱ kome hĩo̱ ši; mafe hefatalo̱ ko ní sale̱ mahãle̱. Abe̱i
"So the Lord God made him fall into a deep sleep, and he took out one of the man's ribs. Then after closing the man's side,","Ni Iehowa Nyoṅmo̱ hã wo̱ ni tšī nyõ Adam no̱, ni ewo̱; ni edšie eṅmãwui le̱ eko, ni eṅõ lō etšĩmo̱ nãdšiaṅ."
"the Lord made a woman out of the rib. The Lord God brought her to the man,","Ni Iehowa Nyoṅmo̱ *ṅõ ṅmãwu ni edšie ye̱ Adam mli le̱ efe yō, ni eke̱le̱ ba Adam ṅõ. *"
"and the man exclaimed, “Here is someone like me! She is part of my body, my own flesh and bones. She came from me, a man. So I will name her Woman!”","Ni Adam kē̱: Agbe̱ne̱ ene̱ dši wu ni dše̱ miwui le̱ amli ke̱ lō ní dše̱ mihelo le̱ mli; aatšé̱ mone̱ yō, edšake̱ nū mli adšiele̱ ke̱-dše̱."
"That's why a man will leave his own father and mother. He marries a woman, and the two of them become like one person.","Nohewo̱ le̱ nū aašĩ etše̱ ke̱ enye, ni eekpe̱te̱ eṅã he, ni ame̱atšṍ heló kome. Mat"
"Although the man and his wife were both naked, they were not ashamed.","Ni ame̱yi enyo̱ le̱ fẽ ame̱nyie ya-yai, nū le̱ ke̱ eṅã le̱, ni ame̱hĩe gboo he."
"The woman stared at the fruit. It looked beautiful and tasty. She wanted the wisdom that it would give her, and she ate some of the fruit. Her husband was there with her, so she gave some to him, and he ate it too.","Ni beni yō le̱ *na ake̱ tšo le̱ hĩ hã yeli, ni efeo̱ hĩṅme̱ii ako̱no̱, ni tšo le̱ baä mo tšine, ni etšõo̱ mo nii le̱, †etše eno̱ yibii le̱ eko ni eye, ni ehã ewù ní ke̱le̱ yo̱ le̱ hũ eko, ni eye. *Iak."
"Late in the afternoon, when the breeze began to blow, the man and woman heard the Lord God walking in the garden. So they hid behind some trees. Sin Brings a Curse","Ni ame̱nu Iehowa Nyoṅmo̱ gbē ní enyie trom le̱ mli, beni gbe̱ke̱nāši kō̱yo̱ ſie le̱; ni Adam ke̱ eṅã le̱ *tē ame̱he ye̱ trom le̱ṅ tšei le̱ ateṅ ke̱-dše̱ Iehowa Nyoṅmo̱ hĩe. *Ier."
"The Lord God called out to the man and asked, “Where are you?”",Ni Iehowa Nyoṅmo̱ tšé̱ Adam ni ekē̱le̱ ake̱: Nẽgbe̱ oyo̱?
"The Lord God then asked the woman, “What have you done?” “The snake tricked me,” she answered, “and I ate some of that fruit.”","Ni Iehowa Nyoṅmo̱ kē̱ yō le̱ ake̱: Mẽba ofe ene̱? Ni yō le̱ kē̱: Onũfũ le̱ lakami, ni miye."
"You and this woman will hate each other; your descendants and hers will always be enemies. One of hers will strike you on the head, and you will strike him on the heel.”","Ni mike̱ nyē̱ aaṅmẽ oke̱ yō le̱ teṅ, ke̱ oseši ke̱ *eseši teṅ; †eetſa oyitšo nõ, ni **bo hũ ootſa enanetšitši nõ. *Gal."
"Then the Lord God said to the woman, “You will suffer terribly when you give birth. But you will still desire your husband, and he will rule over you.”","Yō le̱, ekē̱le̱ ake̱: Fá mahā ohedšrame̱ ke̱ oho̱ṅō̃ afá; dšramo̱ mli oofo̱ bii ye̱, ni owù le̱ se̱gbe̱ ootao, ni le̱ *eeye ono̱. *Ef."
"The Lord said to the man, “You listened to your wife and ate the fruit I told you not to eat. And so, the ground will be under a curse because of what you did. As long as you live, you will have to struggle to grow enough food.","Ni Adam le̱, ekē̱le̱ ake̱: Ake̱ni obo oṅã le̱ toi ni oye tšo le̱ ni miwoö he kĩtã ake̱ okaye eyibii le̱ eko hewe̱ le̱, alomo̱ šikpoṅ sũ ye̱ ohewo̱, dšramo̱ mii ooye eno̱ nii ye̱, owala gbĩĩ abo̱ fẽ."
"Your food will be plants, but the ground will produce thorns and thistles.","Ni ṅmei ke̱ aṅlẽṅlẽ eewo ehão, ni ṅãno̱ bāi ooye."
"You will sweat all your life to earn a living; you were made out of soil, and you will once again turn into soil.”","Ohĩe *latšā mli ooye nii ye̱, ke̱-yaši beyino̱ ni ookũ ose̱ ke̱-ate šikpoṅ sũ mli, edšake̱ emli adšieo ke̱-dše̱. Edšake̱ sũ dšio, ni sũ mli ookũ ose̱ ke̱-ate! *"
The man Adam named his wife Eve because she would become the mother of all who live.,"Ni Adam tšē̱ eṅã le̱ gbe̱i Hawa, edšake̱ le̱ dši hĩekãle̱i fẽ anye."
Then the Lord God made clothes out of animal skins for the man and his wife.,"Ni Iehowa Nyoṅmo̱ fe wolo atadei ehã Adam ke̱ eṅã le̱, ni eṅõ-woame̱."
"The Lord said, “They now know the difference between right and wrong, just as we do. But they must not be allowed to eat fruit from the tree that lets them live forever.”","Ni Iehowa Nyoṅmo̱ kē̱: Na, Adam etšṍ *tamo̱ wo̱teṅ mokome, ni ele ekpakpa ke̱ efõṅ; ni agbe̱ne̱ beni afe ni ekakpã enine mli, ni etše wala tšo le̱ yibii le̱ hũ eko, nieye, ni ehĩe mīkã ke̱-mīya nāno̱! *K."
"So the Lord God sent them out of the Garden of Eden, where they would have to work the ground from which the man had been made.","Hewo̱ le̱ Iehowa Nyoṅmo̱ dšiele̱ ye̱ Eden trom le̱ mli, koni eyahũ šikpoṅ, nõ mli ni adšiele̱ ke̱-dše̱ le̱;"
"Then God put winged creatures at the entrance to the garden and a flaming, flashing sword to guard the way to the life-giving tree.","ni eſie Adam, ni eṅõ *kernbim ke̱ lalile̱i klante ni tšṍmoe̱ ebe eto Eden trom le̱ hĩe ye̱ bokãgbe̱, koni ebu wala tšo le̱ nāgbe̱ le̱ he. *Ezek."
"Later she had another son and named him Abel. Abel became a sheep farmer, but Cain farmed the land.","Ni efo̱ enyemi Habel efata he; ni Habel tšṍ tōkwe̱lo̱, ni Kain tšṍ šikpoṅhũlo̱."
"One day, Cain gave part of his harvest to the Lord,",Ni eba mli ake̱ ye̱ mli āhũ le̱ Kain ṅõ šikpoṅ nibānii le̱ eko eyašã afō̱le ehã Iehowa;
but not with Cain and his offering. This made Cain so angry that he could not hide his feelings.,"ši Kain ke̱ efo̱le le̱, ehĩe eso̱o̱ no. Ni Kain mli wo la naakpa, ni etũ ehĩe."
"If you had done the right thing, you would be smiling. But you did the wrong thing, and now sin is waiting to attack you like a lion. Sin wants to destroy you, but don't let it!","Aso ke̱dši ofe ekpakpa le̱, ohĩe baṅ nyam lo? ši ke̱dši ofee ekpakpa le̱, eša *bu šĩnā le̱ ši, ni bo ose̱gbe̱ etaoo̱; ši bo le̱ †ye eno̱. *Gal."
"Then the Lord said: Why have you done this terrible thing? You killed your own brother, and his blood flowed onto the ground. Now his blood is calling out for me to punish you.",Ni ekē̱: Meni ofe nē̱? Onyemi le̱ *lá gbē mīblo̱ mītšé̱mi ke̱-mīdše̱ šikpoṅ sũ le̱ mli! *Mat.
"And so, I'll put you under a curse. Because you killed Abel and made his blood run out on the ground, you will never be able to farm it again.","Ni agbe̱ne̱, alomo̱o ke̱-dše̱ šikpoṅ le̱ ni gble enā ni eke̱mī̃ onyemi le̱ lá le̱ ye̱ odeṅ le̱ no̱."
"“You're making me leave my home and live far from you. I will have to wander about without a home, and just anyone could kill me.”","Na, oſiemi ṅme̱ne̱ ke̱-dše šikpoṅ le̱ hĩe, ni matẽ mihe ke̱-dše̱ ohĩe, ni mitšṍ šikpalo̱ ke̱ kobo̱fo ye̱ šikpoṅ le̱ no̱, ni aaba mli ake̱ mofẽmo ni aanami le̱, eegbemi. Hiob"
“No!” the Lord answered. “Anyone who kills you will be punished seven times worse than I am punishing you.” So the Lord put a mark on Cain to warn everyone not to kill him.,"Ni Iehowa kē̱le̱ ake̱: Nohewo̱ le̱ mofẽmo ni aagbe Kain le̱, aato̱le̱ owele toi kpawo. Ni Iehowa kadi Kain, koni kē̱ moko nale̱ ni ekatſale̱ nõ."
"Later, Cain and his wife had a son named Enoch. At the time Cain was building a town, and so he named it Enoch after his son.","Ni Kain le eṅã le̱, ni ená mũsũ, ni efo̱ Henok. Ni eto maṅ, ni eṅõ ebi Henok gbe̱i ewo maṅ le̱."
"One day, Lamech said to his two wives, “A young man wounded me, and I killed him.","Ni Lamek kē̱ eṅãmei le̱ ake̱: Ada ke̱ Zila, nyenua migbē; nye Lamek ṅãmei, nyeboa miwiemo̱ le̱ toi! Ši mipilamo̱ hewo̱ migbe nū ko, ni mihe flawõ hewo̱ hũ migbe oblanyo ko."
Anyone who tries to get even with me will be punished ten times more than anyone who tries to get even with Cain.”,"Ké̱ aato̱ Kain he owele toi kpawo le̱, asane̱kwa Lamek le̱, toi nyoṅmai-kpawo ke̱ kpawo! K."
