verse_number,english_verse,translation_verse
1,In the beginning God created the heavens and the earth.,"Ahyɛaseɛ ne, Nyameɛ bɔle anwuro ne aseɛ."
2,"The earth was barren, with no form of life; it was under a roaring ocean covered with darkness. But the Spirit of God was moving over the water. The First Day",Né aseɛ te sesakaa bɔ olle bɔbea biala ɔ. Né awosii akata buma ne anye; na né Nyameɛ Sunzum natenate nzue ne anyeso faa.
3,"God said, “I command light to shine!” And light started shining.","Na Nyameɛ hane kyɛ, “Ɔ́ta hyireinn!” Na ɔtale hyireinn."
4,God looked at the light and saw that it was good. He separated light from darkness,"Nyameɛ nwuni kyɛ hyireinn ne te paa, na ɔtele hyireinn ne fili awosii ne anwo."
5,"and named the light “Day” and the darkness “Night.” Evening came, then morning—that was the first day. The Second Day","Nyameɛ tole hyireinn ne dumaa Alehyeleɛ, yeɛ ɔtole awosii ne dumaa Alesaleɛ. Aleɛ sane, na aleɛ hyene: kyẽa bɔ oli moa ɛne."
6,"God said, “I command a dome to separate the water above it from the water below it.”","Na Nyameɛ hane kyɛ, “Ewienu bra, na ɔɔtete nzue nemɔ anu!” Na ɔwale nu sɔ."
7,And that's what happened. God made the dome,"Nyameɛ yɔle ewienu, na ɔtele nzue bɔ ɔwɔ ewienu bo fili bɔ ɔwɔ ewienu anwuro nwo."
8,"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day","Nyameɛ tole ewienu ne dumaa Anwuro. Aleɛ sane, na aleɛ hyene: kyẽa bɔ ɔtɔ so nyɔ ɛne."
9,"God said, “I command the water under the sky to come together in one place, so there will be dry ground.” And that's what happened.","Na Nyameɛ hane kyɛ, “Nzue bɔ ɔwɔ ewienu bo ne, ɔ́boa ye noa neka horɛ, na aseɛ wosee bra!” Na ɔwale nu sɔ."
10,"God named the dry ground “Land,” and he named the water “Ocean.” God looked at what he had done and saw that it was good.","Nyameɛ tole nekaa wosee ne dumaa Aseɛ, yeɛ nzue bɔ ye noa aboa ne koso, ɔtole ye dumaa Ɛpo. Na Nyameɛ nwuni kyɛ ɔte paa."
11,"God said, “I command the earth to produce all kinds of plants, including fruit trees and grain.” And that's what happened.","Na Nyameɛ hane kyɛ, “Aseɛ ófifi ndire, mmakaa bɔ osu mmaa, ɔne mmakaa bɔ ye mma wɔ ye aleɛ nu, ebiala kyɛbɔ ye sue si te ɔ wɔ aseɛ so!” Na ɔwale nu sɔ."
12,"The earth produced all kinds of vegetation. God looked at what he had done, and it was good.","Aseɛ fifili ndire, mmakaa bɔ osu mmaa, ɔne mmakaa bɔ mmaa wɔ ye aleɛ nu, ebiala kyɛbɔ ye sue si te ɔ. Na Nyameɛ nwuni kyɛ ɔte paa."
13,"Evening came, then morning—that was the third day. The Fourth Day","Aleɛ sane, na aleɛ hyene: kyẽa bɔ ɔtɔ so nza ɛne."
14,"God said, “I command lights to appear in the sky and to separate day from night and to show the time for seasons, special days, and years.","Na Nyameɛ hane kyɛ, “Nganea bra ewienu, na bɛɛtete alehyeleɛ ne alesaleɛ bɛ nu, na bɛ́yɛ mmerɛ, ngyẽa ne afoɛ mɔ nwo nzɛngyerɛnneɛ;"
15,I command them to shine on the earth.” And that's what happened.,"bɛɛyɛ nganea wɔ ewienu, ná bɛta aseɛ so!” Na ɔwale nu sɔ."
16,"God made two powerful lights, the brighter one to rule the day and the other to rule the night. He also made the stars.","Yiti Nyameɛ yɔle nganea mbiri nyɔ ne, kyɛ pirikua ne oli alehyeleɛ so, na kaaba ne oli alesaleɛ so; ɔyɔle nzramaa mɔ koso."
17,"Then God put these lights in the sky to shine on the earth,","Na Nyameɛ fale bɛ tuatuale ewienu kyɛ bɛta aseɛ so,"
18,"to rule day and night, and to separate light from darkness. God looked at what he had done, and it was good.","kyɛ beli alehyeleɛ ne alesaleɛ so, na bɛtete hyireinn ne awosii ne anu. Na Nyameɛ nwuni kyɛ ɔte paa."
19,"Evening came, then morning—that was the fourth day. The Fifth Day","Aleɛ sane, na aleɛ hyene: kyẽa bɔ ɔtɔ so nna ɛne."
20,"God said, “I command the ocean to be full of living creatures, and I command birds to fly above the earth.”","Na Nyameɛ hane kyɛ, “Nzue ɔlɔ abɔdeɛ ahoroɔ pee bɔ bele ngoa ɔ, ná nnomaa koso bétu bɛ́fa aseɛ so wɔ ewienu!”"
